"mdpt_x","mdpt_y","density"
76.228046534609,-99.2478260869565,3.28155047427594e-20
78.1373804069532,-99.2478260869565,8.68510752934431e-21
80.0467142792975,-99.2478260869565,2.22864639821098e-21
81.9560481516417,-99.2478260869565,5.54468646029475e-22
83.865382023986,-99.2478260869565,1.33746576574596e-22
85.7747158963302,-99.2478260869565,3.12793855225839e-23
87.6840497686745,-99.2478260869565,7.09256962542798e-24
89.5933836410187,-99.2478260869565,1.55926115375519e-24
91.502717513363,-99.2478260869565,3.32356339712589e-25
-99.4306697210618,-96.3489130434782,4.71331717892037e-24
-97.5213358487176,-96.3489130434782,2.0827970433957e-23
-95.6120019763733,-96.3489130434782,8.95550221324478e-23
-93.7026681040291,-96.3489130434782,3.74544558172442e-22
-91.7933342316849,-96.3489130434782,1.52314837570749e-21
-89.8840003593406,-96.3489130434782,6.02100960808226e-21
-87.9746664869964,-96.3489130434782,2.31290505052334e-20
-86.0653326146521,-96.3489130434782,8.6315950975574e-20
-84.1559987423079,-96.3489130434782,3.12869393623144e-19
-82.2466648699636,-96.3489130434782,1.10123069568888e-18
-80.3373309976194,-96.3489130434782,3.76314738923047e-18
-78.4279971252751,-96.3489130434782,1.24826212395835e-17
-76.5186632529309,-96.3489130434782,4.01859962080688e-17
-74.6093293805866,-96.3489130434782,1.25544835110502e-16
-72.6999955082424,-96.3489130434782,3.80562687587208e-16
-70.7906616358981,-96.3489130434782,1.11920961649894e-15
-68.8813277635539,-96.3489130434782,3.19311827912043e-15
-66.9719938912096,-96.3489130434782,8.83695360517959e-15
-65.0626600188654,-96.3489130434782,2.37216206310534e-14
-63.1533261465211,-96.3489130434782,6.17610360693019e-14
-61.2439922741769,-96.3489130434782,1.5595200128493e-13
-59.3346584018326,-96.3489130434782,3.81904060540645e-13
-57.4253245294884,-96.3489130434782,9.06959680444042e-13
-55.5159906571441,-96.3489130434782,2.08870836387134e-12
-53.6066567847999,-96.3489130434782,4.66456860079452e-12
-51.6973229124556,-96.3489130434782,1.0101327980164e-11
-49.7879890401114,-96.3489130434782,2.12114184552277e-11
-47.8786551677672,-96.3489130434782,4.31894253663706e-11
-45.9693212954229,-96.3489130434782,8.52697404912237e-11
-44.0599874230787,-96.3489130434782,1.63236221572646e-10
-42.1506535507344,-96.3489130434782,3.02996278306439e-10
-40.2413196783902,-96.3489130434782,5.45321994849903e-10
-38.3319858060459,-96.3489130434782,9.5161239253503e-10
